1 2 3
1 2 4
1 2 5
1 2 6
1 2 7
1 2 8
1 2 9
1 2 10
1 2 11
1 2 12
1 2 13
1 2 14
1 2 15
1 2 16
1 2 17
1 2 18
1 2 19
1 2 20
1 2 21
1 2 22
1 2 23
1 2 24
1 2 25
1 2 26
1 2 27
1 2 28
1 2 29
1 2 30
1 2 31
1 2 32
1 2 33
1 2 34
1 2 35
1 2 36
1 2 37
1 2 38
1 2 39
1 2 40
1 2 41
1 2 42
1 2 43
1 2 44
1 2 45
1 2 46
1 2 47
1 2 48
1 2 49
1 2 50
1 2 52
1 2 54
1 2 56
1 2 58
1 2 60
1 2 62
1 2 64
1 2 66
1 2 68
1 2 70
1 2 72
1 2 74
1 2 76
1 2 78
1 2 80
1 2 82
1 2 84
1 2 86
1 2 88
1 2 90
1 2 92
1 2 94
1 2 96
1 2 98
1 2 100
1 3 4
1 3 5
1 3 6
1 3 7
1 3 8
1 3 9
1 3 10
1 3 11
1 3 12
1 3 13
1 3 14
1 3 15
1 3 16
1 3 17
1 3 18
1 3 19
1 3 20
1 3 21
1 3 22
1 3 23
1 3 24
1 3 25
1 3 26
1 3 27
1 3 28
1 3 29
1 3 30
1 3 31
1 3 32
1 3 33
1 3 36
1 3 39
1 3 42
1 3 45
1 3 48
1 3 51
1 3 54
1 3 57
1 3 60
1 3 63
1 3 66
1 3 69
1 3 72
1 3 75
1 3 78
1 3 81
1 3 84
1 3 87
1 3 90
1 3 93
1 3 96
1 3 99
1 4 5
1 4 6
1 4 7
1 4 8
1 4 9
1 4 10
1 4 11
1 4 12
1 4 13
1 4 14
1 4 15
1 4 16
1 4 17
1 4 18
1 4 19
1 4 20
1 4 21
1 4 22
1 4 23
1 4 24
1 4 25
1 4 26
1 4 28
1 4 30
1 4 32
1 4 34
1 4 36
1 4 38
1 4 40
1 4 42
1 4 44
1 4 46
1 4 48
1 4 50
1 4 52
1 4 56
1 4 60
1 4 64
1 4 68
1 4 72
1 4 76
1 4 80
1 4 84
1 4 88
1 4 92
1 4 96
1 4 100
1 5 6
1 5 7
1 5 8
1 5 9
1 5 10
1 5 11
1 5 12
1 5 13
1 5 14
1 5 15
1 5 16
1 5 17
1 5 18
1 5 19
1 5 20
1 5 25
1 5 30
1 5 35
1 5 40
1 5 45
1 5 50
1 5 55
1 5 60
1 5 65
1 5 70
1 5 75
1 5 80
1 5 85
1 5 90
1 5 95
1 5 100
1 6 7
1 6 8
1 6 9
1 6 10
1 6 11
1 6 12
1 6 13
1 6 14
1 6 15
1 6 16
1 6 18
1 6 20
1 6 21
1 6 22
1 6 24
1 6 26
1 6 27
1 6 28
1 6 30
1 6 32
1 6 33
1 6 36
1 6 39
1 6 42
1 6 45
1 6 48
1 6 54
1 6 60
1 6 66
1 6 72
1 6 78
1 6 84
1 6 90
1 6 96
1 7 8
1 7 9
1 7 10
1 7 11
1 7 12
1 7 13
1 7 14
1 7 21
1 7 28
1 7 35
1 7 42
1 7 49
1 7 56
1 7 63
1 7 70
1 7 77
1 7 84
1 7 91
1 7 98
1 8 9
1 8 10
1 8 11
1 8 12
1 8 14
1 8 16
1 8 18
1 8 20
1 8 22
1 8 24
1 8 28
1 8 32
1 8 36
1 8 40
1 8 44
1 8 48
1 8 56
1 8 64
1 8 72
1 8 80
1 8 88
1 8 96
1 9 10
1 9 11
1 9 12
1 9 15
1 9 18
1 9 21
1 9 24
1 9 27
1 9 30
1 9 33
1 9 36
1 9 45
1 9 54
1 9 63
1 9 72
1 9 81
1 9 90
1 9 99
1 10 12
1 10 14
1 10 15
1 10 16
1 10 18
1 10 20
1 10 25
1 10 30
1 10 35
1 10 40
1 10 45
1 10 50
1 10 60
1 10 70
1 10 80
1 10 90
1 10 100
1 11 22
1 11 33
1 11 44
1 11 55
1 11 66
1 11 77
1 11 88
1 11 99
1 12 14
1 12 15
1 12 16
1 12 18
1 12 20
1 12 21
1 12 24
1 12 28
1 12 30
1 12 32
1 12 36
1 12 42
1 12 48
1 12 60
1 12 72
1 12 84
1 12 96
1 13 26
1 13 39
1 13 52
1 13 65
1 13 78
1 13 91
1 14 21
1 14 28
1 14 35
1 14 42
1 14 49
1 14 56
1 14 70
1 14 84
1 14 98
1 15 18
1 15 20
1 15 25
1 15 30
1 15 45
